"code","team","city","name","capacity","built","seat","lat","lon","lonlat","unique.team"
"CHN","Harbin Yiteng","Harbin","Harbin ICE Center Stadium",50000,"1995","all-seater",42.4413799,-96.3629553504917,"42.4413799:-96.3629553504917","harbin-yiteng"
"CHN","Qingdao Huanghai","Qingdao","Yizhong Center",45000,"1997","all-seater",36.067108,120.382609,"36.067108:120.382609","qingdao-huanghai"
"CHN","Football-use","Yantai","Sports Park Stadium",45000,"-","all-seater",37.4640759,121.45612820766,"37.4640759:121.45612820766","football-use"
"CHN","Zibo Zhang Gang","Zibo","Sports Center Stadium",45000,"-","all-seater",0,0,"0:0","zibo-zhang-gang"
"CHN","Football-use","Weifang","Sports Center Stadium",45000,"-","all-seater",0,0,"0:0","football-use"
"CHN","Shandong Luneng","Jinan","Shandong Provincial Stadium",43700,"1988","all-seater",36.651216,117.12,"36.651216:117.12","shandong-luneng"
"CHN","Football-use","Zhuzhou","Zhuzhou Stadium",42740,"-","all-seater",27.8450892,113.140401335766,"27.8450892:113.140401335766","football-use"
"CHN","Chengdu Blades","Chengdu","Chengdu Sports Center",42000,"-","all-seater",25.089175,121.521814,"25.089175:121.521814","chengdu-blades"
"CHN","Baotou Nanjiao FC","Baotou","Olympic Sports Centre",40545,"1998","all-seater",0,0,"0:0","baotou-nanjiao-fc"
"CHN","Baotou Lucheng FC","Baotou","Olympic Sports Centre",40545,"1998","all-seater",0,0,"0:0","baotou-lucheng-fc"
"CHN","Yunnan Hongta","Kunming","Tuodong Stadium",40000,"-","all-seater",25.0379625,102.728675,"25.0379625:102.728675","yunnan-hongta"
"CHN","Kunming Jin Jue","Kunming","Tuodong Stadium",40000,"-","all-seater",0,0,"0:0","kunming-jin-jue"
"CHN","Shenzhen FC","Shenzhen","Bao'an Stadium",40000,"2011","all-seater",22.5632441,113.8764783,"22.5632441:113.8764783","shenzhen-fc"
"CHN","Football-use","Taizhou","Taizhou Sports Center",40000,"2003","all-seater",35.6432352,140.1161569,"35.6432352:140.1161569","football-use"
"CHN","Football-use","Wuhu","Wuhu Olympic Stadium",40000,"2002","all-seater",51.53865205,-0.0165021873020624,"51.53865205:-0.0165021873020624","football-use"
"CHN","Multi-use","Huizhou","Huizhou Stadium",40000,"2010","all-seater",23.25286625,114.337651347467,"23.25286625:114.337651347467","multi-use"
"CHN","Shanghai Golden Eagles","Shanghai","Jiangwan Sports Centre",40000,"1935","all-seater",31.33800275,121.507725256188,"31.33800275:121.507725256188","shanghai-golden-eagles"
"CHN","Football-use","Anshan","Anshan Sports Centre",40000,"-","all-seater",50.93385775,-1.39665857206283,"50.93385775:-1.39665857206283","football-use"
"CHN","Football-use","Zhanjiang","Olympic Main Stadium",40000,"2015","all-seater",31.9859775,-102.16571,"31.9859775:-102.16571","football-use"
"CHN","Football-use","Anqing","Sports Centre Stadium",40000,"2014","all-seater",52.3180059,-1.94175824028711,"52.3180059:-1.94175824028711","football-use"
"CHN","Football-use","Xining","Xining Stadium",40000,"-","all-seater",36.6219037,101.7729898,"36.6219037:101.7729898","football-use"
"CHN","Football-use","Luoyang","Luoyang Stadium",39888,"2008","all-seater",34.3212759,111.887579549771,"34.3212759:111.887579549771","football-use"
"CHN","Yinchuan Helanshan FC","Ningxia","Helan Mountain Stadium",39872,"2013","all-seater",NA,NA,"NA:NA","yinchuan-helanshan-fc"
"CHN","Guangzhou Rams","Guangzhou","University City Stadium",39346,"-","all-seater",23.1392253,113.260777808408,"23.1392253:113.260777808408","guangzhou-rams"
"CHN","Multi-use","Changzhou","Olympic Sports Center",38000,"2008","all-seater",0,0,"0:0","multi-use"
"CHN","Changchun Yatai","Changchun","Changchun City Stadium",38000,"-","all-seater",44.25653965,125.528116111848,"44.25653965:125.528116111848","changchun-yatai"
"CHN","Tianjin Teda","Tianjin","TEDA Football Stadium",37450,"2004","all-seater",39.032786,117.7188729,"39.032786:117.7188729","tianjin-teda"
"CHN","Football-use","Foshan","Century Lotus Stadium",36686,"2005","all-seater",NA,NA,"NA:NA","football-use"
"CHN","Enterprises Group FC","Beijing","Olympic Sports Centre",36228,"1990","all-seater",0,0,"0:0","enterprises-group-fc"
"CHN","Liaoning Whowin FC","Panjin","Liaoning Panjin Stadium",35600,"-","all-seater",41.1169056,122.0655098,"41.1169056:122.0655098","liaoning-whowin-fc"
"CHN","Football-use","Yiwu","Meihu Sports Centre",35260,"-","all-seater",29.306757,120.07514,"29.306757:120.07514","football-use"
"CHN","Football-use","Ordos","Ordos Stadium",35107,"2011","all-seater",39.24306345,108.617436943033,"39.24306345:108.617436943033","football-use"
"CHN","Football-use","Jiaxing","Jiaxing Stadium",35000,"-","all-seater",30.6641722,120.796963479699,"30.6641722:120.796963479699","football-use"
"CHN","Football-use","Suzhou","Suzhou City Stadium",35000,"-","all-seater",31.40012995,120.724313604025,"31.40012995:120.724313604025","football-use"
"CHN","Football-use","Xuzhou","Olympic Sports Centre",35000,"-","all-seater",0,0,"0:0","football-use"
"CHN","Football-use","Yingkou","Olympic Sports Centre",35000,"-","all-seater",0,0,"0:0","football-use"
"CHN","Football-use","Zhuhai","Sports Centre Stadium",35000,"1998","all-seater",0,0,"0:0","football-use"
"CHN","Multi-use","Jining","Jining Stadium",34318,"2012","all-seater",35.2168599,116.617126902423,"35.2168599:116.617126902423","multi-use"
"CHN","Multi-use","Quanzhou","Quanzhou Sports Center",34000,"2008","all-seater",35.6432352,140.1161569,"35.6432352:140.1161569","multi-use"
"CHN","Hebei China Fortune","Qinhuangdao","Olympic Sports Centre",33572,"2004","all-seater",0,0,"0:0","hebei-china-fortune"
"CHN","Shanghai Greenland FC","Shanghai","Hongkou Stadium",33060,"1999","all-seater",31.2732666,121.476384662597,"31.2732666:121.476384662597","shanghai-greenland-fc"
"CHN","Football-use","Shenzhen","Shenzhen Stadium",33000,"1993","all-seater",22.56216825,114.086925682439,"22.56216825:114.086925682439","football-use"
"CHN","Football-use","Nantong","Nantong Stadium",32244,"2010","all-seater",32.0055323,120.8428519,"32.0055323:120.8428519","football-use"
"CHN","Wuhan Zall FC","Wuhan","Xinhua Lu Stadium",32137,"-","all-seater",30.593099,114.305393,"30.593099:114.305393","wuhan-zall-fc"
"CHN","Fushun City FC","Fushun","Leifeng Stadium",32000,"-","all-seater",NA,NA,"NA:NA","fushun-city-fc"
"CHN","Football-use","Longjing","Hailanjiang Stadium",32000,"-","all-seater",NA,NA,"NA:NA","football-use"
"CHN","Football-use","Tai'an","Sports Center Stadium",32000,"1993","all-seater",0,0,"0:0","football-use"
